0,0,0,0,0,0,0
79,89,48,57,1,92,19
79,91,59,50,5,94,15
76,91,65,45,10,91,15
75,90,71,39,13,92,20
0,0,0,0,0,0,0
77,96,52,48,0,93,23
76,94,49,56,0,94,5
81,90,63,57,3,93,6
80,89,62,54,3,93,9
81,91,45,62,0,95,23
76,96,51,53,1,93,13
79,93,57,60,0,92,4
80,91,60,58,1,91,4
0,0,0,0,0,0,0
80,96,40,57,0,90,24
78,97,46,60,0,92,4
75,95,61,61,0,89,3
74,93,58,56,1,87,4
0,0,0,0,0,0,0
78,97,44,48,0,88,10
70,98,58,38,0,86,2
72,96,61,47,0,86,3
0,0,0,0,0,0,0
0,0,0,0,0,0,0
57,99,49,9,0,69,1
59,98,59,11,0,73,1
62,97,58,25,0,78,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
