0,0,755,765,750,801
742,789,760,709,714,745
694,716,700,678,687,717
726,719,723,709,0,0
683,713,0,0,0,0
0,0,83,82,92,94
84,80,99,91,116,110
101,112,103,95,104,100
116,101,98,95,0,0
110,106,0,0,0,0
0,0,183,207,257,426
182,201,204,248,316,437
199,223,219,256,317,400
232,207,214,249,0,0
239,216,0,0,0,0
0,0,155,133,149,143
144,150,143,138,146,164
195,154,136,128,134,164
148,139,137,139,0,0
195,152,0,0,0,0
0,0,88,83,83,70
98,81,93,91,91,78
100,96,89,88,82,82
85,88,88,85,0,0
87,84,0,0,0,0
0,0,460,469,462,405
500,468,452,441,442,360
448,447,469,465,451,422
409,459,464,466,0,0
435,465,0,0,0,0
